,Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
330135,330135,2020-10-25 23:06:13,4883407061576,fraud_Kassulke PLC,shopping_net,974.36,Rachel,Williams,F,6386 Bailey Hill Apt. 421,Seattle,WA,98118,47.5412,-122.275,837792,Systems developer,1936-12-23,5cc92a8f0821a1fb075acce4e8b21ed4,1382742373,48.375593,-122.83509,1
118526,118526,2020-08-02 02:54:42,3577794103155425,fraud_Bradtke PLC,grocery_pos,348.61,Mary,Humphrey,F,9853 Flynn Hollow Apt. 602,Reynolds,ND,58275,47.7068,-97.2092,733,Visual merchandiser,1994-11-12,3d90fb83a6a609f3d341a6f0867a9911,1375412082,47.442871,-96.809288,1
192525,192525,2020-08-27 22:48:50,6011104316292105,fraud_Gottlieb-Hansen,personal_care,20.91,Valerie,Davis,F,3861 Anderson Ramp Apt. 536,Drakes Branch,VA,23937,36.9688,-78.5615,1970,Energy engineer,1985-09-02,c8cecac8950a88ac35853adb49bccd4d,1377643730,36.654786,-77.96393499999999,1
111635,111635,2020-07-30 00:52:25,4352307151555405069,fraud_Luettgen PLC,gas_transport,7.84,Joseph,Bartlett,M,610 Pacheco Parkway,Falls Church,VA,22046,38.8856,-77.1802,116155,Armed forces training and education officer,1932-05-09,7a4349b621986d6d52a1495c71ab55d6,1375145545,39.565925,-76.37004300000001,1
105671,105671,2020-07-27 23:00:25,30290551782700,fraud_Macejkovic-Lesch,shopping_pos,951.91,John,Clarke,M,27909 Peter Motorway,Cadiz,KY,42211,36.802,-87.8286,13422,Commissioning editor,1961-09-03,5cca047522e63683009555a5e15ebe6e,1374966025,36.833312,-86.948924,1
404444,404444,2020-11-27 16:07:24,3513506355699497,fraud_Friesen Inc,shopping_pos,956.44,Sarah,Adams,F,5654 Peterson Land,Ridgeland,MS,39157,32.4122,-90.1207,24645,"Scientist, clinical (histocompatibility and immunogenetics)",1966-05-29,6356cd12a8d89b1c36abd3521db229a6,1385568444,33.060111,-89.410945,1
474087,474087,2020-12-14 03:08:48,6011492816282597,"fraud_Robel, Cummerata and Prosacco",gas_transport,9.43,Gary,Barnes,M,2970 Flores Brooks,Smackover,AR,71762,33.3398,-92.7442,2501,Financial adviser,1986-06-11,cede37d5ddf96277b1a15c258e26ba1d,1386990528,32.988521,-93.042421,1
425118,425118,2020-12-02 22:26:14,3588001568691267,fraud_Kunde-Sanford,misc_net,745.05,Jason,Johnson,M,5942 Thomas Park,Craig,AK,99921,55.4732,-133.1171,1920,Commissioning editor,1997-06-17,4dcbabac2b9319533b45b3adb7e417f1,1386023174,56.134886,-132.392044,1
304345,304345,2020-10-13 22:12:45,4129767952109660,fraud_Abbott-Rogahn,entertainment,489.67,Cheryl,Ballard,F,248 James Squares Apt. 838,Halstad,MN,56548,47.3551,-96.798,771,"Scientist, audiological",1972-06-14,f2ac30cc79bd9dceb8193eaca5654c18,1381702365,47.019184,-96.292327,1
306328,306328,2020-10-15 02:24:35,3501942333500073,"fraud_Kovacek, Dibbert and Ondricka",grocery_pos,284.76,Lori,Bishop,F,08056 Alvarado Club Suite 699,Phoenix,AZ,85086,33.8155,-112.1202,1312922,Counselling psychologist,1999-11-30,ed866af88c99f8df17cd3f677efe9b48,1381803875,34.728331,-112.890271,1
